---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| title                                                                                                                   | description                                                                                                                                                                                | author                              | date |
| "Role-based service-oriented implementation of a virtual enterprise: A case study in the construction sector."          | "mdate: 2009-09-14, key: journals/cii/Rezgui07pages: 74-86;volume: 58;journal: Computers in Industry;number: 1;ee: http://dx.doi.org/10.1016/j.compind.2006.04.009;"                       | "Yacine Rezgui"                     | 2007 |
| "Supply-chain transparency within industrialized construction projects."                                                | "mdate: 2014-02-26, key: journals/cii/Cus-BabicRNP14pages: 345-353;volume: 65;journal: Computers in Industry;number: 2;ee: http://dx.doi.org/10.1016/j.compind.2013.12.003;"               | "Matjaz Nekrep-Perc"                | 2014 |
| "Supply-chain transparency within industrialized construction projects."                                                | "mdate: 2014-02-26, key: journals/cii/Cus-BabicRNP14pages: 345-353;volume: 65;journal: Computers in Industry;number: 2;ee: http://dx.doi.org/10.1016/j.compind.2013.12.003;"               | "Nenad Cus-Babic"                   | 2014 |
| "Supply-chain transparency within industrialized construction projects."                                                | "mdate: 2014-02-26, key: journals/cii/Cus-BabicRNP14pages: 345-353;volume: 65;journal: Computers in Industry;number: 2;ee: http://dx.doi.org/10.1016/j.compind.2013.12.003;"               | "Peter Podbreznik"                  | 2014 |
| "Supply-chain transparency within industrialized construction projects."                                                | "mdate: 2014-02-26, key: journals/cii/Cus-BabicRNP14pages: 345-353;volume: 65;journal: Computers in Industry;number: 2;ee: http://dx.doi.org/10.1016/j.compind.2013.12.003;"               | "Danijel Rebolj"                    | 2014 |
| "A construction of distributed reference counting."                                                                     | "mdate: 2003-11-25, key: journals/acta/MoreauD01pages: 563-595;volume: 37;journal: Acta Inf.;number: 8;ee: http://link.springer.de/link/service/journals/00236/bibs/1037008/10370563.htm;" | "Luc Moreau"                        | 2001 |
| "A construction of distributed reference counting."                                                                     | "mdate: 2003-11-25, key: journals/acta/MoreauD01pages: 563-595;volume: 37;journal: Acta Inf.;number: 8;ee: http://link.springer.de/link/service/journals/00236/bibs/1037008/10370563.htm;" | "Jean Duprat"                       | 2001 |
| "Direct regularized surface reconstruction from gradients for Industrial Photometric Stereo."                           | "mdate: 2013-12-18, key: journals/cii/HarkerO13pages: 1221-1228;volume: 64;journal: Computers in Industry;number: 9;ee: http://dx.doi.org/10.1016/j.compind.2013.03.013;"                  | "Matthew Harker"                    | 2013 |
| "Direct regularized surface reconstruction from gradients for Industrial Photometric Stereo."                           | "mdate: 2013-12-18, key: journals/cii/HarkerO13pages: 1221-1228;volume: 64;journal: Computers in Industry;number: 9;ee: http://dx.doi.org/10.1016/j.compind.2013.03.013;"                  | "Paul O'Leary"                      | 2013 |
| "Experience modeling with graphs encoded knowledge for construction industry."                                          | "mdate: 2015-05-20, key: journals/cii/Kamsu-FoguemA15pages: 79-88;volume: 70;journal: Computers in Industry;ee: http://dx.doi.org/10.1016/j.compind.2015.02.004;"                          | "Fonbeyin Henry Abanda"             | 2015 |
| "Experience modeling with graphs encoded knowledge for construction industry."                                          | "mdate: 2015-05-20, key: journals/cii/Kamsu-FoguemA15pages: 79-88;volume: 70;journal: Computers in Industry;ee: http://dx.doi.org/10.1016/j.compind.2015.02.004;"                          | "Bernard Kamsu-Foguem"              | 2015 |
| "Dynamic 3D surface reconstruction and motion modeling from a pan-tilt-zoom camera."                                    | "mdate: 2015-05-20, key: journals/cii/DhouM15pages: 183-193;volume: 70;journal: Computers in Industry;ee: http://dx.doi.org/10.1016/j.compind.2015.02.005;"                                | "Salam Dhou"                        | 2015 |
| "Dynamic 3D surface reconstruction and motion modeling from a pan-tilt-zoom camera."                                    | "mdate: 2015-05-20, key: journals/cii/DhouM15pages: 183-193;volume: 70;journal: Computers in Industry;ee: http://dx.doi.org/10.1016/j.compind.2015.02.005;"                                | "Yuichi Motai"                      | 2015 |
| "An information model for collaboration in the construction Industry."                                                  | "mdate: 2009-09-19, key: journals/cii/LeeuwenF06pages: 809-816;volume: 57;journal: Computers in Industry;number: 8-9;ee: http://dx.doi.org/10.1016/j.compind.2006.04.011;"                 | "S. Fridqvist"                      | 2006 |
| "An information model for collaboration in the construction Industry."                                                  | "mdate: 2009-09-19, key: journals/cii/LeeuwenF06pages: 809-816;volume: 57;journal: Computers in Industry;number: 8-9;ee: http://dx.doi.org/10.1016/j.compind.2006.04.011;"                 | "J. P. van Leeuwen"                 | 2006 |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
